Meal_ID,Name,Calories,Protein,Carbs,Fat,Type,Meal_Type,Goal,Tags
M0040,Grilled Chicken with Rice #40,448,41g,47g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0041,Rajma Chawal #41,498,17g,69g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0042,Paneer Bhurji with Roti #42,383,20g,35g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0043,Moong Dal Khichdi #43,298,10g,44g,6g,Veg,dinner,weight_loss,"dinner, light"
M0044,Chicken Curry with Chapati #44,481,36g,45g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0045,Vegetable Pulao with Curd #45,445,9g,60g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0046,Oats with Banana #46,362,9g,55g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0047,Poha #47,223,8g,44g,7g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0048,Idli with Sambar #48,306,7g,49g,3g,Veg,breakfast,maintenance,"breakfast, balanced"
M0049,Grilled Chicken with Rice #49,473,39g,47g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0050,Rajma Chawal #50,492,17g,68g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0051,Paneer Bhurji with Roti #51,409,19g,32g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0052,Moong Dal Khichdi #52,311,12g,47g,7g,Veg,dinner,weight_loss,"dinner, light"
M0053,Chicken Curry with Chapati #53,471,35g,41g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0054,Vegetable Pulao with Curd #54,442,12g,60g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0055,Oats with Banana #55,335,8g,57g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0056,Poha #56,240,8g,45g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0057,Idli with Sambar #57,317,6g,46g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0058,Grilled Chicken with Rice #58,472,42g,50g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0059,Rajma Chawal #59,473,18g,73g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0060,Paneer Bhurji with Roti #60,419,19g,36g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0061,Moong Dal Khichdi #61,299,14g,45g,3g,Veg,dinner,weight_loss,"dinner, light"
M0062,Chicken Curry with Chapati #62,489,37g,45g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0063,Vegetable Pulao with Curd #63,437,12g,56g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0064,Oats with Banana #64,337,10g,65g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0065,Poha #65,246,8g,44g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0066,Idli with Sambar #66,328,8g,52g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0067,Grilled Chicken with Rice #67,458,38g,46g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0068,Rajma Chawal #68,524,16g,67g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0069,Paneer Bhurji with Roti #69,389,21g,39g,18g,Veg,lunch,maintenance,"lunch, protein_rich"
M0070,Moong Dal Khichdi #70,326,10g,48g,7g,Veg,dinner,weight_loss,"dinner, light"
M0071,Chicken Curry with Chapati #71,519,33g,44g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0072,Vegetable Pulao with Curd #72,450,8g,61g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0073,Oats with Banana #73,321,11g,65g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0074,Poha #74,278,5g,44g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0075,Idli with Sambar #75,325,9g,46g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0076,Grilled Chicken with Rice #76,466,40g,54g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0077,Rajma Chawal #77,473,17g,72g,8g,Veg,lunch,weight_gain,"lunch, high_carb"
M0078,Paneer Bhurji with Roti #78,402,22g,32g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0079,Moong Dal Khichdi #79,277,14g,49g,2g,Veg,dinner,weight_loss,"dinner, light"
M0080,Chicken Curry with Chapati #80,495,34g,40g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0081,Vegetable Pulao with Curd #81,430,8g,59g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0082,Oats with Banana #82,331,9g,56g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0083,Poha #83,229,8g,35g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0084,Idli with Sambar #84,300,6g,51g,3g,Veg,breakfast,maintenance,"breakfast, balanced"
M0085,Grilled Chicken with Rice #85,468,41g,52g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0086,Rajma Chawal #86,470,18g,65g,8g,Veg,lunch,weight_gain,"lunch, high_carb"
M0087,Paneer Bhurji with Roti #87,387,21g,34g,14g,Veg,lunch,maintenance,"lunch, protein_rich"
M0088,Moong Dal Khichdi #88,299,10g,46g,4g,Veg,dinner,weight_loss,"dinner, light"
M0089,Chicken Curry with Chapati #89,525,34g,35g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0090,Vegetable Pulao with Curd #90,445,10g,62g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0091,Oats with Banana #91,327,9g,65g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0092,Poha #92,239,6g,38g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0093,Idli with Sambar #93,316,9g,54g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0094,Grilled Chicken with Rice #94,459,38g,48g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0095,Rajma Chawal #95,515,18g,69g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0096,Paneer Bhurji with Roti #96,423,19g,32g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0097,Moong Dal Khichdi #97,318,12g,42g,3g,Veg,dinner,weight_loss,"dinner, light"
M0098,Chicken Curry with Chapati #98,475,33g,42g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0099,Vegetable Pulao with Curd #99,433,9g,62g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0100,Oats with Banana #100,356,8g,56g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0101,Poha #101,264,4g,44g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0102,Idli with Sambar #102,284,10g,47g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0103,Grilled Chicken with Rice #103,475,41g,45g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0104,Rajma Chawal #104,486,17g,67g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0105,Paneer Bhurji with Roti #105,381,18g,36g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0106,Moong Dal Khichdi #106,304,14g,42g,2g,Veg,dinner,weight_loss,"dinner, light"
M0107,Chicken Curry with Chapati #107,497,37g,44g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0108,Vegetable Pulao with Curd #108,424,11g,61g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0109,Oats with Banana #109,357,8g,59g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0110,Poha #110,258,8g,43g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0111,Idli with Sambar #111,277,8g,51g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0112,Grilled Chicken with Rice #112,455,42g,50g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0113,Rajma Chawal #113,493,20g,67g,5g,Veg,lunch,weight_gain,"lunch, high_carb"
M0114,Paneer Bhurji with Roti #114,423,18g,36g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0115,Moong Dal Khichdi #115,276,11g,45g,6g,Veg,dinner,weight_loss,"dinner, light"
M0116,Chicken Curry with Chapati #116,496,35g,38g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0117,Vegetable Pulao with Curd #117,446,9g,64g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0118,Oats with Banana #118,324,8g,55g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0119,Poha #119,237,6g,45g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0120,Idli with Sambar #120,281,10g,55g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0121,Grilled Chicken with Rice #121,447,42g,52g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0122,Rajma Chawal #122,475,20g,74g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0123,Paneer Bhurji with Roti #123,374,22g,30g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0124,Moong Dal Khichdi #124,309,14g,50g,1g,Veg,dinner,weight_loss,"dinner, light"
M0125,Chicken Curry with Chapati #125,470,35g,42g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0126,Vegetable Pulao with Curd #126,466,9g,56g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0127,Oats with Banana #127,341,12g,58g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0128,Poha #128,266,4g,36g,5g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0129,Idli with Sambar #129,281,10g,52g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0130,Grilled Chicken with Rice #130,461,40g,52g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0131,Rajma Chawal #131,496,20g,73g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0132,Paneer Bhurji with Roti #132,400,18g,34g,15g,Veg,lunch,maintenance,"lunch, protein_rich"
M0133,Moong Dal Khichdi #133,277,14g,48g,5g,Veg,dinner,weight_loss,"dinner, light"
M0134,Chicken Curry with Chapati #134,507,33g,37g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0135,Vegetable Pulao with Curd #135,434,9g,61g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0136,Oats with Banana #136,321,12g,64g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0137,Poha #137,255,5g,37g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0138,Idli with Sambar #138,274,7g,45g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0139,Grilled Chicken with Rice #139,440,38g,51g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0140,Rajma Chawal #140,491,18g,72g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0141,Paneer Bhurji with Roti #141,386,22g,32g,15g,Veg,lunch,maintenance,"lunch, protein_rich"
M0142,Moong Dal Khichdi #142,310,11g,47g,3g,Veg,dinner,weight_loss,"dinner, light"
M0143,Chicken Curry with Chapati #143,524,35g,37g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0144,Vegetable Pulao with Curd #144,432,9g,62g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0145,Oats with Banana #145,352,10g,62g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0146,Poha #146,232,5g,45g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0147,Idli with Sambar #147,308,8g,51g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0148,Grilled Chicken with Rice #148,421,40g,53g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0149,Rajma Chawal #149,514,19g,70g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0150,Paneer Bhurji with Roti #150,387,22g,39g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0151,Moong Dal Khichdi #151,291,10g,44g,4g,Veg,dinner,weight_loss,"dinner, light"
M0152,Chicken Curry with Chapati #152,475,33g,40g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0153,Vegetable Pulao with Curd #153,463,10g,56g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0154,Oats with Banana #154,378,12g,59g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0155,Poha #155,224,6g,36g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0156,Idli with Sambar #156,286,6g,46g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0157,Grilled Chicken with Rice #157,434,42g,47g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0158,Rajma Chawal #158,504,18g,67g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0159,Paneer Bhurji with Roti #159,426,19g,36g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0160,Moong Dal Khichdi #160,294,13g,44g,2g,Veg,dinner,weight_loss,"dinner, light"
M0161,Chicken Curry with Chapati #161,480,35g,41g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0162,Vegetable Pulao with Curd #162,439,8g,59g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0163,Oats with Banana #163,361,12g,61g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0164,Poha #164,244,5g,44g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0165,Idli with Sambar #165,275,8g,48g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0166,Grilled Chicken with Rice #166,466,42g,50g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0167,Rajma Chawal #167,493,18g,65g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0168,Paneer Bhurji with Roti #168,379,19g,38g,18g,Veg,lunch,maintenance,"lunch, protein_rich"
M0169,Moong Dal Khichdi #169,311,14g,47g,4g,Veg,dinner,weight_loss,"dinner, light"
M0170,Chicken Curry with Chapati #170,512,36g,40g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0171,Vegetable Pulao with Curd #171,438,10g,61g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0172,Oats with Banana #172,379,12g,56g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0173,Poha #173,255,4g,42g,4g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0174,Idli with Sambar #174,285,6g,48g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0175,Grilled Chicken with Rice #175,464,38g,54g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0176,Rajma Chawal #176,529,16g,70g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0177,Paneer Bhurji with Roti #177,383,19g,33g,15g,Veg,lunch,maintenance,"lunch, protein_rich"
M0178,Moong Dal Khichdi #178,329,14g,47g,1g,Veg,dinner,weight_loss,"dinner, light"
M0179,Chicken Curry with Chapati #179,485,35g,44g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0180,Vegetable Pulao with Curd #180,458,9g,64g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0181,Oats with Banana #181,346,10g,63g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0182,Poha #182,254,4g,45g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0183,Idli with Sambar #183,310,9g,46g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0184,Grilled Chicken with Rice #184,455,41g,47g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0185,Rajma Chawal #185,471,16g,74g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0186,Paneer Bhurji with Roti #186,378,20g,34g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0187,Moong Dal Khichdi #187,270,11g,43g,7g,Veg,dinner,weight_loss,"dinner, light"
M0188,Chicken Curry with Chapati #188,482,33g,42g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0189,Vegetable Pulao with Curd #189,428,10g,65g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0190,Oats with Banana #190,346,11g,56g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0191,Poha #191,250,7g,35g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0192,Idli with Sambar #192,320,6g,47g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0193,Grilled Chicken with Rice #193,424,39g,52g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0194,Rajma Chawal #194,493,16g,72g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0195,Paneer Bhurji with Roti #195,428,18g,30g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0196,Moong Dal Khichdi #196,276,13g,43g,3g,Veg,dinner,weight_loss,"dinner, light"
M0197,Chicken Curry with Chapati #197,508,37g,36g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0198,Vegetable Pulao with Curd #198,450,10g,63g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0199,Oats with Banana #199,341,8g,59g,3g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0200,Poha #200,273,6g,38g,5g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0201,Idli with Sambar #201,298,8g,46g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0202,Grilled Chicken with Rice #202,422,41g,49g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0203,Rajma Chawal #203,497,16g,70g,9g,Veg,lunch,weight_gain,"lunch, high_carb"
M0204,Paneer Bhurji with Roti #204,420,18g,40g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0205,Moong Dal Khichdi #205,325,11g,44g,7g,Veg,dinner,weight_loss,"dinner, light"
M0206,Chicken Curry with Chapati #206,513,36g,42g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0207,Vegetable Pulao with Curd #207,450,8g,62g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0208,Oats with Banana #208,379,9g,56g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0209,Poha #209,275,4g,39g,7g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0210,Idli with Sambar #210,313,9g,50g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0211,Grilled Chicken with Rice #211,422,41g,53g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0212,Rajma Chawal #212,516,20g,71g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0213,Paneer Bhurji with Roti #213,391,22g,38g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0214,Moong Dal Khichdi #214,302,10g,48g,4g,Veg,dinner,weight_loss,"dinner, light"
M0215,Chicken Curry with Chapati #215,523,33g,40g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0216,Vegetable Pulao with Curd #216,446,8g,63g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0217,Oats with Banana #217,342,8g,64g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0218,Poha #218,274,4g,43g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0219,Idli with Sambar #219,324,8g,52g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0220,Grilled Chicken with Rice #220,425,40g,54g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0221,Rajma Chawal #221,485,16g,66g,5g,Veg,lunch,weight_gain,"lunch, high_carb"
M0222,Paneer Bhurji with Roti #222,415,20g,37g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0223,Moong Dal Khichdi #223,326,10g,41g,2g,Veg,dinner,weight_loss,"dinner, light"
M0224,Chicken Curry with Chapati #224,495,34g,39g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0225,Vegetable Pulao with Curd #225,455,12g,56g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0226,Oats with Banana #226,363,8g,64g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0227,Poha #227,272,8g,36g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0228,Idli with Sambar #228,312,10g,45g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0229,Grilled Chicken with Rice #229,461,38g,51g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0230,Rajma Chawal #230,525,20g,67g,9g,Veg,lunch,weight_gain,"lunch, high_carb"
M0231,Paneer Bhurji with Roti #231,386,21g,30g,18g,Veg,lunch,maintenance,"lunch, protein_rich"
M0232,Moong Dal Khichdi #232,314,12g,40g,3g,Veg,dinner,weight_loss,"dinner, light"
M0233,Chicken Curry with Chapati #233,473,34g,41g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0234,Vegetable Pulao with Curd #234,475,12g,65g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0235,Oats with Banana #235,378,11g,65g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0236,Poha #236,230,6g,40g,5g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0237,Idli with Sambar #237,314,8g,48g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0238,Grilled Chicken with Rice #238,471,39g,55g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0239,Rajma Chawal #239,489,17g,71g,9g,Veg,lunch,weight_gain,"lunch, high_carb"
M0240,Paneer Bhurji with Roti #240,383,22g,30g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0241,Moong Dal Khichdi #241,281,11g,50g,3g,Veg,dinner,weight_loss,"dinner, light"
M0242,Chicken Curry with Chapati #242,507,35g,43g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0243,Vegetable Pulao with Curd #243,471,8g,58g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0244,Oats with Banana #244,347,12g,55g,3g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0245,Poha #245,263,4g,36g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0246,Idli with Sambar #246,291,7g,54g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0247,Grilled Chicken with Rice #247,466,38g,55g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0248,Rajma Chawal #248,499,19g,74g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0249,Paneer Bhurji with Roti #249,415,21g,36g,14g,Veg,lunch,maintenance,"lunch, protein_rich"
M0250,Moong Dal Khichdi #250,297,13g,43g,2g,Veg,dinner,weight_loss,"dinner, light"
M0251,Chicken Curry with Chapati #251,491,33g,38g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0252,Vegetable Pulao with Curd #252,436,12g,62g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0253,Oats with Banana #253,337,10g,63g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0254,Poha #254,228,5g,43g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0255,Idli with Sambar #255,323,6g,49g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0256,Grilled Chicken with Rice #256,455,40g,51g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0257,Rajma Chawal #257,485,18g,67g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0258,Paneer Bhurji with Roti #258,378,20g,35g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
